Date,Portfolio 1,Portfolio 2,Portfolio 3,Portfolio 4,Portfolio 5
1960-04,-0.029889,-0.029001,-0.025777,-0.009311,-0.009587
1960-05,-0.003971,0.033249,0.017892,0.028713,0.033196
1960-06,0.017496,0.008711,0.020655,0.01833,0.024393
1960-07,-0.015713,-0.021424,-0.021518,-0.020155,-0.026816
1960-08,0.047635,0.030256,0.034554,0.026664,0.027986
1960-09,-0.057169,-0.0718,-0.061783,-0.058467,-0.057534
1960-10,-0.0365,-0.032062,-0.029207,-0.018819,-0.005598
1960-11,0.01365,0.042331,0.049952,0.054848,0.048191
1960-12,0.019223,0.030935,0.032693,0.043373,0.045423
1961-01,0.103415,0.090309,0.082411,0.07498,0.055648
1961-02,0.060877,0.073193,0.057107,0.053165,0.03893
1961-03,0.061564,0.052201,0.048666,0.044904,0.020062
1961-04,0.021092,0.01962,0.002538,0.00069,0.002036
1961-05,0.052721,0.036082,0.046479,0.0268,0.031055
1961-06,-0.046607,-0.05735,-0.047148,-0.037844,-0.029761
1961-07,-0.002742,0.006459,0.010569,0.016932,0.022622
1961-08,0.010784,0.012428,0.003425,0.034408,0.029567
1961-09,-0.038666,-0.039468,-0.028957,-0.029755,-0.021179
1961-10,0.02177,0.010764,0.017948,0.027615,0.024765
1961-11,0.045539,0.052148,0.043748,0.036726,0.033799
1961-12,0.001832,0.002444,-0.008844,-0.01079,-0.01245
1962-01,0.025098,0.004877,-0.024236,-0.022086,-0.034129
1962-02,0.018434,0.011264,0.009037,0.017858,0.009022
1962-03,-0.007763,-0.009475,-0.01389,-0.011692,-0.002276
1962-04,-0.067059,-0.077071,-0.064852,-0.06781,-0.065828
1962-05,-0.105964,-0.103915,-0.111604,-0.095596,-0.091541
1962-06,-0.087719,-0.09195,-0.091377,-0.086556,-0.082224
1962-07,0.075256,0.071561,0.053794,0.053938,0.054483
1962-08,0.045691,0.026849,0.027846,0.024595,0.015069
1962-09,-0.066095,-0.075634,-0.067763,-0.054267,-0.053372
1962-10,-0.053884,-0.03741,-0.033097,-0.013107,-0.001609
1962-11,0.141798,0.138714,0.136378,0.126193,0.117607
1962-12,-0.037727,-0.027169,-0.020265,-0.001013,0.007934
1963-01,0.118687,0.096174,0.072826,0.061449,0.051451
1963-02,-0.01275,-0.014135,-0.019065,-0.02186,-0.023886
1963-03,0.012143,0.013987,0.013507,0.017353,0.030727
1963-04,0.021373,0.040433,0.037195,0.040694,0.043644
1963-05,0.04789,0.036244,0.034502,0.021946,0.014269
1963-06,-0.018119,-0.00742,-0.018037,-0.022065,-0.013358
1963-07,0.002501,-0.012701,-0.013308,-0.014289,-0.006101
1963-08,0.030683,0.044043,0.055008,0.049398,0.055625
1963-09,-0.006229,-0.022552,-0.019407,-0.021887,-0.021052
1963-10,0.008411,0.020308,0.008931,0.014746,0.012198
1963-11,-0.017156,-0.014632,-0.016692,-0.009969,-0.007684
1963-12,-0.020039,0.001689,0.004117,0.009285,0.019449
1964-01,0.052784,0.016648,0.014691,0.009796,0.015915
1964-02,0.03141,0.024187,0.022766,0.023498,0.015057
1964-03,0.030711,0.031542,0.034544,0.026962,0.014983
1964-04,-0.002822,-0.006473,-0.011061,-0.00697,-0.000321
1964-05,0.005578,0.005811,0.012246,0.016798,0.010777
1964-06,0.013104,0.007882,0.01794,0.014203,0.012707
1964-07,0.039152,0.031022,0.021668,0.022335,0.022654
1964-08,-0.00686,-0.007631,-0.014197,-0.00781,-0.015864
1964-09,0.047823,0.03691,0.027502,0.02983,0.032132
1964-10,0.031565,0.016772,0.021501,0.013627,0.008884
1964-11,0.001571,0.000591,-0.003792,-0.00173,0.000415
1964-12,-0.020577,-0.018308,-0.003229,-0.003734,-0.004384
1965-01,0.088335,0.059535,0.056229,0.054836,0.043585
1965-02,0.029101,0.031406,0.032878,0.025059,0.013668
1965-03,0.029737,0.009587,0.004732,-0.002132,-0.012631
1965-04,0.044555,0.04646,0.041669,0.028944,0.025767
1965-05,0.005292,-0.015082,-0.008627,-0.009457,-0.01133
1965-06,-0.094033,-0.089485,-0.087324,-0.076283,-0.057168
1965-07,0.035608,0.034909,0.029593,0.031422,0.017962
1965-08,0.04525,0.042614,0.054806,0.042112,0.029195
1965-09,0.041846,0.02476,0.036192,0.027564,0.029108
1965-10,0.073074,0.060729,0.054074,0.037456,0.029333
1965-11,0.054928,0.043106,0.02856,0.032769,0.007155
1965-12,0.069619,0.038526,0.034485,0.018457,0.015109
1966-01,0.097773,0.054607,0.042698,0.031015,0.013524
1966-02,0.042912,0.023559,0.009826,0.003046,-0.015724
1966-03,-0.01306,-0.020835,-0.031935,-0.028931,-0.018056
1966-04,0.057726,0.046603,0.038248,0.034925,0.022712
1966-05,-0.096347,-0.090489,-0.080948,-0.071557,-0.054472
1966-06,-0.001361,-0.002917,-0.005178,-0.004869,-0.008882
1966-07,-0.021186,-0.006745,-0.015966,-0.017963,-0.014445
1966-08,-0.124497,-0.106042,-0.103223,-0.087539,-0.08108
1966-09,-0.020029,-0.024719,-0.016921,-0.017152,-0.008775
1966-10,-0.037387,-0.012739,0.00731,0.01541,0.047315
1966-11,0.052382,0.035877,0.047219,0.033976,0.015886
1966-12,0.02527,0.017993,0.020697,0.020743,0.013589
1967-01,0.220855,0.187076,0.145966,0.120297,0.074562
1967-02,0.064578,0.027966,0.024009,0.002896,0.001376
1967-03,0.066125,0.061313,0.055026,0.052281,0.038142
1967-04,0.04553,0.032605,0.034707,0.040648,0.037144
1967-05,-0.004807,-0.015739,-0.023427,-0.011626,-0.044587
1967-06,0.107453,0.081904,0.054611,0.039215,0.018006
1967-07,0.109268,0.089317,0.064409,0.059106,0.050091
1967-08,0.012912,-0.00127,-0.00013,-0.005057,-0.007369
1967-09,0.074224,0.054087,0.034277,0.032477,0.02091
1967-10,-0.017084,-0.025519,-0.031219,-0.035793,-0.048221
1967-11,-0.000295,0.00076,0.008649,0.006469,0.002068
1967-12,0.107146,0.090802,0.063598,0.039535,0.028208
1968-01,0.06505,0.008376,-0.007794,-0.030773,-0.045343
1968-02,-0.053773,-0.049188,-0.048265,-0.052314,-0.034352
1968-03,-0.01192,-0.015945,-0.010695,-0.000934,0.001837
1968-04,0.175612,0.148041,0.130823,0.105229,0.090487
1968-05,0.117203,0.086458,0.062655,0.044335,0.019673
1968-06,0.02742,0.009242,0.013453,0.016535,0.015985
1968-07,-0.005743,-0.027709,-0.038518,-0.041822,-0.025382
1968-08,0.051023,0.041678,0.024897,0.018855,0.010501
1968-09,0.076219,0.059333,0.067818,0.056044,0.047775
1968-10,0.011568,0.006046,0.020082,0.007249,0.012601
1968-11,0.070795,0.077296,0.083629,0.070486,0.061182
1968-12,0.013364,-0.004509,-0.020761,-0.030446,-0.031671
1969-01,-0.001056,-0.015691,-0.012506,-0.010244,-0.004131
1969-02,-0.090097,-0.083223,-0.072515,-0.075986,-0.061722
1969-03,0.025803,0.026039,0.022635,0.016398,0.018792
1969-04,0.00363,0.00602,0.011908,0.00937,0.020053
